Source,Target,Relationship Type,Description,Date
P1,W1,Related To,Lauren Lee McCarthy is connected to Surrogate via Artistic Direction,
G1,W1,Related To,Interviewed Parents is connected to Surrogate via Intended Audience,
G2,W1,Related To,Selected Parents is connected to Surrogate via Relational Core,
P2,W1,Related To,The Surrogate Performer is connected to Surrogate via Embodied Actor,
G3,W1,Related To,Fertility Specialists is connected to Surrogate via Medical Advisors,
G4,W1,Related To,Doctors & Nurses is connected to Surrogate via Medical Advisors,
G5,W1,Related To,Legal Advisors is connected to Surrogate via Legal Infrastructure,
T1,W1,Related To,Biometric Technology is connected to Surrogate via Technological Substrate,
G6,W1,Related To,Exhibition Viewers is connected to Surrogate via Public Reception,
I1,W1,Related To,Sundance Film Festival is connected to Surrogate via Cultural Gatekeepers,
G7,W1,Related To,Artists & Designers is connected to Surrogate via Artistic Ecosystem,
G8,W1,Related To,Media & Social Networks is connected to Surrogate via Discourse Network,
G9,W1,Related To,Scholars & Critics is connected to Surrogate via Critical Interpretation,
E1,W1,Related To,COVID-19 Pandemic is connected to Surrogate via Global Context,
P3,W1,Related To,Donald Trump is connected to Surrogate via Political Actor,
G10,W1,Related To,Anti-Reproductive Rights Politicians is connected to Surrogate via Political Actor,
G11,W1,Related To,Surveillance Tech Enthusiasts is connected to Surrogate via Techno-politics,
