ID,Name,Type,Affiliation,Keywords,Notable Works,Thematic Area
W1,Surrogate,Project,Lauren Lee McCarthy,"performance, surrogacy, technology",,Embodied Tech + Reproduction
P1,Lauren Lee McCarthy,Person,UCLA,"artist, performer, creator","Surrogate, LAUREN",Artistic Direction
P2,Surrogate Performer,Person,,"surrogate, performer",,Embodied Actor
G1,Interviewed Parents,Group,,"interviewed, candidates",,Participation
G2,Selected Parents,Group,,"chosen, final",,Participation
G3,Doctors,Group,,"consultation, support",,Medical
G4,Lawyers,Group,,"ethics, legality",,Legal
G5,Fertility Specialists,Group,,"IVF, reproduction",,Medical
T1,Biometric Sensors,Technology,,"sensor, tracking",,Tech
T2,Remote Surveillance Tools,Technology,,"monitoring, remote",,Tech
G6,Artists & Designers,Group,,"network, inspiration",,Creative
G7,Viewers,Group,,"audience, attendees",,Public
G8,Scholars & Critics,Group,,"bioethics, interpretation",,Academic
G9,Media Platforms,Group,,"Twitter, coverage",,Public
I1,Sundance Festival,Institution,,"film, culture",,Institution
E1,COVID-19 Pandemic,Event,,"crisis, intimacy",,Context
P3,Donald Trump,Person,US Govt,"policy, restriction",,Political
G10,Anti-Abortion Lawmakers,Group,,reproductive policy,,Political
G11,Surveillance Tech Enthusiasts,Group,,"optimism, control",,Political-Tech
