Source,Target,Relationship Type,Description,Date
P1,W1,Related To,Lauren Lee McCarthy is related to the Surrogate project,
P2,W1,Related To,Surrogate Performer is related to the Surrogate project,
G1,W1,Related To,Interviewed Parents is related to the Surrogate project,
G2,W1,Related To,Selected Parents is related to the Surrogate project,
G3,W1,Related To,Doctors is related to the Surrogate project,
G4,W1,Related To,Lawyers is related to the Surrogate project,
G5,W1,Related To,Fertility Specialists is related to the Surrogate project,
T1,W1,Related To,Biometric Sensors is related to the Surrogate project,
T2,W1,Related To,Remote Surveillance Tools is related to the Surrogate project,
G6,W1,Related To,Artists & Designers is related to the Surrogate project,
G7,W1,Related To,Viewers is related to the Surrogate project,
G8,W1,Related To,Scholars & Critics is related to the Surrogate project,
G9,W1,Related To,Media Platforms is related to the Surrogate project,
I1,W1,Related To,Sundance Festival is related to the Surrogate project,
E1,W1,Related To,COVID-19 Pandemic is related to the Surrogate project,
P3,W1,Related To,Donald Trump is related to the Surrogate project,
G10,W1,Related To,Anti-Abortion Lawmakers is related to the Surrogate project,
G11,W1,Related To,Surveillance Tech Enthusiasts is related to the Surrogate project,
P1,P2,Collaborated With,Lauren and the surrogate performer worked together,
P1,G4,Consulted,Legal consultation for project,
G3,G5,Medical Partnership,Doctors worked alongside fertility specialists,
T1,G3,Used By,Doctors used biometric sensors,
G7,G6,Audience-Artist,Viewers interacted with artists,
G8,G6,Reviewed,Critics reviewed artistic aspects,
G9,G8,Influenced,Media discourse reached scholars,
I1,G7,Platformed,Sundance platformed viewer engagement,
G10,P3,Aligned With,Trump and lawmakers shared agendas,
G11,G10,Encouraged,Tech enthusiasm reinforced political policies,
C3,C4,Enables,Artificial Fertilization enables New Age Babies,
C3,C5,Supports,Fertilization methods support surrogacy processes,
C5,C1,Reshapes,Surrogacy reshapes modern family structures,
C2,C1,Informs,Genetic legacy informs family relationships,
C4,C2,Continues,New Age Babies carry genetic legacy forward,
C5,G2,Facilitates,Surrogacy facilitates selected parents,
C3,G5,Used By,Fertility Specialists use artificial fertilization,
C1,G1,Relates To,Family structures relate to interviewed parents' values,
P1,P2,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,G1,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,G2,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,G3,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,G4,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,G5,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,T1,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,T2,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,G6,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,G7,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,G8,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,G9,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,I1,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,E1,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,P3,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,G10,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,G11,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,C1,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,C2,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,C3,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,C4,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
P1,C5,Interacted With,Lauren Lee McCarthy is relationally linked to this actor or concept,
