date,title,description
2015-06,Telemedicine Expands,First wave of large-scale telehealth initiatives begins in the U.S.
2016-11,Trump Elected,Donald Trump is elected as 45th U.S. President, signaling new political era.
2017-01,Planned Parenthood Defunding Begins,Early attempts by the Trump administration to restrict federal funding.
2017-10,#MeToo Goes Viral,Social media reshapes public discourse around power, consent, and control.
2018-06,ICE and Family Separation,Controversial family separation policy heightens public concern over care and control.
2019-01,Surveillance Tech in Care Homes,Growth in "smart" elder care and home surveillance tech.
2020-03,COVID Declared a Pandemic,Global shift to remote living, care, and labor systems.
2020-05,Zoom Becomes Ubiquitous,Zoom becomes cultural shorthand for presence in the digital age.
2021-02,Digital Wellness and Burnout,Articles and studies begin framing 'Zoom fatigue' and digital exhaustion.
2022-06,Roe v. Wade Overturned,Supreme Court eliminates constitutional protections for abortion.
2023-03,AI Care Assistants Rise,AI tools like ChatGPT enter mainstream care, education, and emotional support contexts.
2024-01,Normalization of Remote Intimacy,From parenting to therapy, remote modes of intimate labor are widely accepted.
